id;year;promo;city;gpa
ZZHVNGOYLOSRUCBIVRIE;1;2022;STG;2.133333333
ZTBSGVTHMNXURFXCDWOL;1;2022;STG;0.4
ZPRQDFIJHGAJXRKGVGAA;1;2022;STG;2.307692308
ZOBCCPUXLWEBNRVARLWX;2;2021;STG;2.740740741
ZMGCDLRMIHDDGLCEVUTY;1;2022;STG;0.6
ZFADPBOTKXEPBUBGMIBZ;1;2022;STG;0.666666667
YIMUKYIFRNXJXATESLYA;3;2020;STG;1.4375
YAODBFWVRXVEJUQYQFSW;3;2020;STG;3.04137931
XMNCQFUSDFKOJGSFQFUL;1;2022;STG;0.6
XKGDAFRBNQLUPLROVJJF;3;2020;STG;3.7405063289999996
XIQVHHYRNRMOYXKXMOZL;3;2020;STG;2.462025316
XFFKHRSSUFRTIFBJIVZW;3;2020;STG;2.954545455
XCVITCXNHIBUBWSJRMQT;1;2022;STG;1.4615384619999998
WYAURYKYGKSGKGUUYRZO;1;2022;STG;3.266666667
WOTYJDKZUPJDDYUERRWW;1;2022;STG;1.307692308
WNWSYHEWNZMCOZGOYUXO;1;2022;STG;4.0
WFNSCPVBXWWSCHXPLBXE;4;2019;STG;3.14375
VTKQGLUHXOHHAMISPPLD;1;2022;STG;1.230769231
VRXYLJFEHRDECNQKMXRJ;2;2021;STG;1.7222222219999999
VGGHMRLONZFEPRZCQTHZ;1;2022;STG;2.8461538460000004
VDMAUDOZZBPTDJJGPKRD;3;2020;STG;2.269461078
VCVMIPUTIODYZPIYROLY;2;2021;STG;1.53125
UYAHVIHVPCOUIGWYTYEU;2;2021;STG;2.481481481
UUILXZEIVQOXYOGVOBJS;3;2020;STG;1.566037736
URPTWSLWRSHNLAIVLSVR;1;2022;STG;1.8
UNILIOQSHCSRUHBNNKWM;1;2022;STG;1.066666667
UILQYZZCNGBVBZGNBYUE;1;2022;STG;2.153846154
UACICDJEVZGMGQDFDRFN;1;2022;STG;1.2
TWMCTYSIMLUVCDOJBQRM;1;2022;STG;1.6666666669999999
TTUELELFBTLFVFSRQGXL;2;2021;STG;2.129032258
TOGOKNKSFADYEOQPJMMJ;2;2021;STG;2.517241379
TNCNTZSHZNNITDYCINWC;3;2020;STG;2.277777778
TKPWPWHJURUWEDOFKXPN;2;2021;STG;1.857142857
TGPIUSHUHHDQEDFJQODI;4;2019;STG;1.993975904
SXVXPARDBFJCDUDWZICN;1;2022;STG;0.666666667
SXMHAXRXIJCPIPRLLXKU;5;2018;STG;1.851711027
STEKKDXESZIJTVAVZIDD;1;2022;STG;0.26666666699999997
SFMRJWSEXXBQQWOPKSMQ;1;2022;STG;0.615384615
SEPFIIHKHOERCDAOQUMY;2;2021;STG;3.25
SCWFCFRKWXVAAOUILPZS;3;2020;STG;1.73006135
RWPLEATDCCZRWXEYJVBA;1;2022;STG;1.142857143
RNFLHIUQKAIIBROIPGUR;1;2022;STG;2.769230769
RLDFDHHWHJATLAAARQSU;4;2019;STG;1.5082872930000002
RKMBGAOPSMHDTIIZDYZM;1;2022;STG;2.133333333
RDGPIGJXYROSESBYLNKH;3;2020;STG;2.525714286
QKVRJRSPZIGZENIMBOHZ;3;2020;STG;2.115151515
PQDXUZEFJHJMKLFCCUQB;3;2020;STG;3.322368421
PKSUBZLDZDKGZGIOGQHY;3;2020;STG;2.117283951
PBHUOEVXGTJLYIOIJYBV;1;2022;STG;1.571428571
OVLSMQRQWXSMTDJIPBTX;1;2022;STG;1.0
OTDHUCXWSEONUUDMRBKY;1;2022;STG;1.8666666669999998
OSKZNOVFNAUWKKVAZCCH;3;2020;STG;2.01754386
OMJTSMLIYFYPBYAFWHCM;1;2022;STG;0.923076923
OFWFYAEDBJWHDFSPIZCQ;1;2022;STG;2.8461538460000004
OEXMSMZDTPYQJHYKWIAX;2;2021;STG;1.1304347829999999
OCFHUPBDIIJOARXJDMHM;3;2020;STG;2.110429448
NWQUWDVGRIJCEZCDNTBS;1;2022;STG;2.0
NDZMTGOWNOPOAFUVMENH;1;2022;STG;1.066666667
NDIKVZIXEHYGYYKEOADY;4;2019;STG;1.548571429
NAGYMGLQGYOUTQAMCCQT;3;2020;STG;1.8723404259999998
MTLKPKQLLLSIFSSPPSWF;3;2020;STG;1.961111111
MSPRZEMHGUNBUKKAAQOM;1;2022;STG;3.166666667
MPDHAQPKHALOBMCETYBS;3;2020;STG;2.6217948719999997
MKJBYXSYQLJUJNOSTXPS;2;2021;STG;2.387096774
MKITDNWAECJEVYPBLZPH;1;2022;STG;0.0
MJOEIDKFZIUSAYCXHRTA;1;2022;STG;1.846153846
LKKXSKMLONDLLGQTAWTP;1;2022;STG;1.9230769230000002
LGQTYTRKSIWRGAMYWUVS;4;2019;STG;2.307692308
LCIQQXUIDMIGWVKVDEIL;3;2020;STG;3.630136986
KYHPJOJSFQBUNURFQAFF;3;2020;STG;2.2208588959999997
KAUDNKCIYKTWUNXUNCAY;1;2022;STG;2.692307692
JQQAGUPLIAQMQMRQISBH;1;2022;STG;0.4
JNCOVPWZXYFYNOSXJRQO;3;2020;STG;2.6
JHSRZOCQWOMCOAOJXXLP;3;2020;STG;2.722222222
IPXXUUVPMILDODWJQIEN;2;2021;STG;3.263157895
INIEJWOESZLEPFOQDEFU;3;2020;STG;2.229411765
HVQDUPYKVGUNSOFZUMFT;1;2022;STG;2.076923077
HUZCKFFBKBUEJBBUKTWM;2;2021;STG;1.785714286
HSZPBOLTRTTQCSJAILFU;3;2020;STG;3.5
HSELJCSXFOJVQOEJBCCQ;1;2022;STG;2.0
HHGGBJKCNSSIESDCMNVZ;1;2022;STG;2.5333333330000003
HCYPTFKDUTVWVZEOAWMT;1;2022;STG;0.26666666699999997
GYLDJLCPSSNLACDFYOZL;4;2019;STG;1.54491018
GRQGMUVVTZIJNWIKEWUH;1;2022;STG;0.25
GHUJGZRGISQEWOTQDTXI;1;2022;STG;3.230769231
GGQBRUJBDDQRBDMNHFOU;1;2022;STG;2.076923077
GFYKXUIYGUSAZXJJWQNZ;1;2022;STG;3.384615385
GFVLQHGNRHSXNYOLYGNL;1;2022;STG;0.933333333
FRPRBDVOOKNVITRWMQHC;3;2020;STG;3.718954248
FONMTZCEOSRMTXNDZTYP;4;2019;STG;2.696202532
FOJBESVWUZHZIBGRGQEW;3;2020;STG;3.203821656
FACBXASOCESHVOHPDZRN;2;2021;STG;2.4
EPIOBGFWKKGXEEDMKVSZ;2;2021;STG;2.551724138
EOWUNQAPGKGOHRZFPZTC;3;2020;STG;2.529411765
EOEMLUUNGTVNENUTZKAQ;1;2022;STG;1.533333333
EHPQNBARHHDVPXUVUHRX;1;2022;STG;0.0
EGKSDXOBWEXKHCVCEHXV;1;2022;STG;1.083333333
EEEIYROGUDNDZBXQLNGF;3;2020;STG;1.9254658390000001
EAZVSPLRZBBPQEAPWKWS;2;2021;STG;3.384615385
DYOXTJTCQEKVLZGGXTWZ;4;2019;STG;1.346153846
DXLBYJGWTNXENTNRRDJL;1;2022;STG;2.769230769
DMZVBGBROARXSGVPGHDQ;3;2020;STG;2.854545455
DLYDBLLSWLZZVSHOGAXI;1;2022;STG;2.4
DAODEGCZNLOKFRUSHEWV;3;2020;STG;2.071895425
CTQKYERMIMUOVQUIFITQ;1;2022;STG;2.384615385
CRNRHUUMKLYONIKRNPGO;1;2022;STG;0.533333333
CNSQULNPVHNRKHUKWSOB;1;2022;STG;0.8666666670000001
CEKLMTVTAMYFSPPQWVHF;1;2022;STG;1.142857143
CDTCBZBNWXGNXLOCNZVZ;3;2020;STG;3.869565217
CBJJTPHLCDTZBSCZLUZL;4;2019;STG;1.961832061
BUPNXTUBVRSRNIEYNCOJ;1;2022;STG;2.642857143
BTOWKEICNPGRUKIBXMSF;3;2020;STG;2.684848485
BPVJYHFNNAOSWGITRQHH;3;2020;STG;3.0566037739999996
BPSQARGXOGHBMAYFUCKZ;2;2021;STG;0.36842105299999994
BNVQPHKYLADXPZHVFJGT;3;2020;STG;2.126666667
BAHBPFAMAJKKYGQSTOMJ;1;2022;STG;1.8666666669999998
AYCJLXEKECQWDEMHJHKS;1;2022;STG;1.6666666669999999
AUICAARZMYAFUPZRGQVU;1;2022;STG;0.133333333
AUETUFMOAWLFQESEPFKK;3;2020;STG;2.125748503
APNRVSYDGKJXWSZTFTWY;3;2020;STG;2.248484848
AHYZFPYDFRWHZHRGBPYD;4;2019;STG;2.095808383
ACSVBYNCANMBWXISUMLD;1;2022;STG;3.066666667
